D_CONTROLE,SUBJETIVIDADE,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO
202,CVLI,Lesão Corporal Seguida de Morte,29/01/2012,17:00,Delmiro Gouveia,Centro,Feminino,Parda,28,OUTROS,Dentro de Casa
203,CVLI,Homicídio,29/01/2012,18:15,São Luís do Quitunde,Zona Rural,Masculino,Parda,36,BRANCA,Via Pública
204,CVLI,Homicídio,29/01/2012,21:00,Maceió,Petrópolis,Masculino,NI,19,PAF,Via Pública
205,CVLI,Homicídio,27/01/2012,18:30,Joaquim Gomes,Centro,Masculino,NI,20,PAF,Via Pública
206,CVLI,Homicídio,30/01/2012,02:30,Maceió,Santos Dumont,Masculino,Branca,33,PAF,Bar
209,CVLI,Homicídio,30/01/2012,11:20,Colônia Leopoldina,Zona Rural,Masculino,NI,29,BRANCA,Via Pública
210,CVLI,Homicídio,30/01/2012,14:00,Piranhas,Zona Rural,Masculino,Parda,19,PAF,Dentro de Casa
211,CVLI,Homicídio,30/01/2012,18:30,São Miguel dos Campos,Centro,Masculino,NI,17,BRANCA,Local Público
212,CVLI,Homicídio,31/01/2012,01:00,Atalaia,Centro,Masculino,NI,20,PAF/B,Via Pública
213,CVLI,Homicídio,31/01/2012,01:30,Arapiraca,Sítio Pau d Arco,Masculino,Parda,54,BRANCA,Via Pública
26224,CVLI,Homicídio,01/07/2018,00:00,Maceió,Benedito Bentes,Masculino,Parda,41,PAF,Dentro de Casa
215,CVLI,Homicídio,31/01/2012,13:30,Satuba,Centro,Masculino,Parda,62,BRANCA,Bar
216,CVLI,Homicídio,31/01/2012,14:20,Atalaia,Centro,Masculino,Parda,19,PAF,Via Pública
217,CVLI,Homicídio,31/01/2012,21:10,Rio Largo,Centro,Masculino,NI,52,PAF,Dentro de Casa
218,CVLI,Homicídio,31/01/2012,21:40,Rio Largo,Centro,Masculino,Parda,17,PAF,Via Pública
220,CVLI,Homicídio,01/02/2012,02:30,Maceió,Chã de Bebedouro,Masculino,NI,21,PAF,Riacho
221,CVLI,Homicídio,01/02/2012,12:30,Palmeira dos Índios,Vila Maria,Masculino,Parda,21,PAF,Imediações de Casa
222,CVLI,Homicídio,01/02/2012,21:15,Maceió,Cidade Universitária,Masculino,NI,18,PAF/B,Via Pública
223,CVLI,Homicídio,01/02/2012,20:30,Arapiraca,Manoel Teles,Masculino,Parda,15,PAF,Porta de Casa
224,CVLI,Homicídio,02/02/2012,22:00,Maceió,Prado,Masculino,Parda,33,BRANCA,Via Pública
225,CVLI,Roubo com Resultado Morte,02/02/2012,16:00,Maceió,Jardim Petrópolis,Feminino,Parda,25,PAF,Próximo de Casa
226,CVLI,Homicídio,02/02/2012,05:30,Arapiraca,Zona Rural Leste,Masculino,Branca,70,PAF,Via Pública
227,CVLI,Homicídio,02/02/2012,18:00,Paripueira,Zona Rural,Masculino,Parda,19,NI,Vegetação
228,CVLI,Homicídio,02/02/2012,20:30,Maceió,Cidade Universitária,Feminino,Parda,29,PAF,Via Pública
229,CVLI,Roubo com Resultado Morte,02/02/2012,15:00,Mata Grande,Zona Rural,Masculino,Parda,45,PAF,Via Pública
230,CVLI,Homicídio,03/02/2012,18:15,Maceió,Jacintinho,Masculino,NI,26,PAF,Via Pública
